"","germplasmName","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","net_merit","notes","Weight..lb."
"97","19-19159",59.3,79.5,131.1,36.9,0.6,8.5,488.6,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[mix]; YTUrb22[Tall]; YTUrb22[Scrappy]",29.15
"98","19-19205",59.1,85.4,130.2,34.2,1,13.9,516.7,"PrStj21[FHB:S]; PrUrb21[exclude_plot:true, rust:R]; PrUrb21[rust:R]; YTNeo22[septoria]; YTUrb22[Npt]",35.15
"99","19-20069",58.8,83.3,131,38,0.6,7.8,511.1,"PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:S]; YTNeo22[ve, septoria]; YTNeo22[ve, sept]; YTUrb22[Ve, short]; YTUrb22[Looks a bit weak]",30.3
"100","19-20348",58.7,90.4,130.6,37.1,1.1,12.9,541.8,"PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTNeo22[thin, septoria]; YTNeo22[tall, septoria]; YTStp22[Leaning]; YTUrb22[Leaning]; YTUrb22[Ve]",33.59
"101","19-20402",58.3,85.2,131,37.5,1.2,18.9,504.8,"PrStj21[maturity:L]; PrUrb21[rust:S]; PrUrb21[rust:S]; YTNeo22[sept]; YTNeo22[clean, tall]",32.22
"102","19-20648",60,82.9,131.5,38.7,0.8,8.4,502.8,"PrStj21[obs:nice appearance]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[leaning]; YTUrb22[Lodging]; YTUrb22[Leaning]",31.44
"103","19-21467",58.3,86.4,130.3,36.4,1.2,19.4,514.2,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[septoria]; YTNeo22[rust, septoria]; YTUrb22[Tall]; YTUrb22[Some disease]",28.77
"104","19-21574",58.5,79.6,130.6,38.6,0.8,13.5,485.2,"PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[talk]; YTNeo22[lodging]; YTStp22[Tall]; YTUrb22[Leaning]; YTUrb22[Lodg]",26.22
"105","19-21760",58.3,88.2,130.9,35.9,0.6,7.3,541.4,"PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[septoria]; YTUrb22[Mix]",32.79
"106","19-21821",59.5,86.7,130.5,38.1,0.8,11,527.8,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[lodging]; YTUrb22[Leaning]; YTUrb22[Lodging]",34.22
