"","x"
"1292","17-25905"
"1293","17-25910"
"1294","17-25915"
"1295","17-25922"
"1296","17-25927"
"1297","17-25930"
"1298","17-25949"
"1299","17-25964"
"1300","17-26022"
"1301","17-26031"
"1302","17-26047"
"1303","17-26055"
"1304","17-26103"
"1305","17-26109"
"1306","17-26118"
"1307","17-26122"
"1308","17-26217"
"1309","17-26241"
"1310","17-26243"
"1311","17-26315"
"1312","17-26318"
"1313","17-26320"
"1314","17-26327"
"1315","17-26355"
"1316","17-26370"
"1317","17-26374"
"1318","17-26378"
"1319","17-26461"
"1320","17-26476"
"1321","17-26506"
"1322","17-26509"
"1323","17-26512"
"1324","17-26514"
"1325","17-26519"
"1326","17-26520"
"1327","17-26521"
"1328","17-26526"
"1329","17-26528"
"1330","17-26542"
"1331","17-26545"
"1332","17-26546"
"1333","17-26563"
"1334","17-26564"
"1335","17-26569"
"1336","17-26575"
"1337","17-26603"
"1338","17-26604"
"1339","17-26614"
"1340","17-26647"
"1341","17-26648"
"1342","17-26665"
"1343","17-26745"
"1344","17-26749"
"1345","17-26763"
"1346","17-26768"
"1347","17-26808"
"1348","17-26839"
"1349","17-26950"
"1350","17-27001"
"1351","17-27039"
"1352","17-27045"
"1353","17-27257"
"1354","17-27328"
"1355","17-27342"
"1356","17-27404"
"1357","17-27457"
"1358","17-27510"
"1359","17-27524"
"1360","17-27529"
"1361","17-27530"
"1362","17-27531"
"1363","17-27546"
"1364","17-27559"
"1365","17-27561"
"1366","17-27565"
"1367","17-27570"
"1368","17-27571"
"1369","17-27576"
"1370","17-27578"
"1371","17-27607"
"1372","17-27608"
"1373","17-27619"
"1374","17-27624"
"1375","17-27636"
"1376","17-27641"
"1377","17-27649"
"1378","17-27660"
"1379","17-27661"
"1380","17-27728"
"1381","17-27764"
"1382","17-27914"
"1383","17-27932"
"1384","17-28068"
"1385","17-28261"
"1386","17-28279"
"1387","17-28319"
"1388","17-28346"
"1389","17-28445"
"1390","17-28453"
"1391","17-28459"
"1392","17-28461"
"1393","17-28510"
"1394","17-28511"
"1395","17-28516"
"1396","17-28517"
"1397","17-28537"
"1398","17-28676"
"1399","17-28864"
"1400","17-28979"
"1401","17-29042"
"1402","17-29049"
"1403","17-29215"
"1404","17-29220"
"1405","17-29233"
"1406","17-29257"
"1407","17-29307"
"1408","17-29411"
"1409","17-29433"
"1410","17-29468"
"1411","17-29505"
"1412","17-29509"
"1413","17-29513"
"1414","17-29544"
"1415","17-29677"
"1416","17-29727"
"1417","17-29732"
"1418","17-29734"
"1419","17-29754"
"1420","17-29806"
"1421","17-29810"
"1422","17-29815"
"1423","17-29827"
"1424","17-29828"
"1425","17-29851"
"1426","17-29866"
"1427","17-29921"
"1428","17-29922"
"1429","17-29965"
"1430","17-29971"
"1431","17-29972"
"1432","17-30006"
"1433","17-30007"
"1434","17-30043"
"1435","17-30115"
"1436","17-30119"
"1437","17-30124"
"1438","17-30135"
"1439","17-30136"
"1440","17-30178"
"1441","17-30209"
"1442","17-30212"
"1443","17-30216"
"1444","17-30219"
"1445","17-30254"
"1446","17-30322"
"1447","17-30333"
"1448","17-30335"
"1449","17-30344"
"1450","17-30355"
"1451","17-30356"
"1452","17-30408"
"1453","17-30413"
"1454","17-30433"
"1455","17-30437"
"1456","17-30461"
"1457","17-30505"
"1458","17-30514"
"1459","17-30536"
"1460","17-30545"
"1461","17-30554"
"1462","17-30603"
"1463","17-30604"
"1464","17-30606"
"1465","17-30621"
"1466","17-30625"
"1467","17-30628"
"1468","17-30629"
"1469","17-30653"
"1470","17-30656"
"1471","17-30658"
"1472","17-30660"
"1473","17-30663"
"1474","17-30664"
"1475","17-30671"
"1476","17-30677"
"1477","17-30679"
"1478","17-30702"
"1479","17-30704"
"1480","17-30715"
"1481","17-30716"
"1482","17-30743"
"1483","17-30744"
"1484","17-30751"
"1485","17-30838"
"1486","17-30842"
"1487","17-30916"
"1488","17-30919"
"1489","17-30922"
"1490","17-30931"
"1491","17-30941"
"1492","17-30947"
"1493","17-31003"
"1494","17-31021"
"1495","17-31124"
"1496","17-31126"
"1497","17-31133"
"1498","17-31136"
